2025-03-16 15:54:49,454 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250316_155449-k04tn3nd/logs/debug.log
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250316_155449-k04tn3nd/logs/debug-internal.log
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():761] calling init triggers
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 256, 'epochs': 10, 'hidden_size': 32, 'learning_rate': 0.001, 'loss': 'mean_squared_error', 'num_layers': 4, 'optimizer': 'nag', 'weight_decay': 0, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():784] starting backend
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():788] sending inform_init request
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():798] backend started and connected
2025-03-16 15:54:49,455 INFO    Thread-10 (_run_job):3113075 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 256, 'epochs': 10, 'hidden_size': 32, 'learning_rate': 0.001, 'loss': 'mean_squared_error', 'num_layers': 4, 'optimizer': 'nag', 'weight_decay': 0, 'weight_init': 'xavier'}
2025-03-16 15:54:49,456 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():891] updated telemetry
2025-03-16 15:54:49,456 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-16 15:54:50,026 INFO    Thread-10 (_run_job):3113075 [wandb_init.py:init():990] starting run threads in backend
